,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,eigenvector_centrality,information_centrality,load_centrality
FUMabc_rev,0.4442748091603053,0.6182161396885323,0.001936180611550541,0.0013706160009759366,0.04500141103325853,0.0063156769026714394,0.00182999397763398
ADCYRS,0.45572519083969465,0.6232159847764034,0.0010661828136405052,0.0013718154421586302,0.04518957215256641,0.006317945867613376,0.0010421578740318186
FUMabc,0.4442748091603053,0.6182161396885323,0.001936180611550541,0.0013706160009759366,0.04500141103325853,0.006315676902671358,0.00182999397763398
NADS1,0.3580152671755725,0.5837789661319073,0.0018437139856498077,0.0011261905961064938,0.03145752422150317,0.006294118995711645,0.0019130312228044532
MOBA,0.4847328244274809,0.6390243902439025,0.0016942823376223516,0.0014238628457086417,0.04762724182485386,0.006323217985070805,0.0016894601960036743
PTGLCN,0.0053435114503816794,0.38092468740913055,4.5467394238963925e-06,0.0002051663570062229,0.00011220696916424994,0.0027779511870435667,4.871083924495712e-06
PC_TBt,0.0015267175572519084,0.38941736028537455,0.0015267175572519073,0.0003418928529011207,9.770207069144175e-05,0.0006825173684482169,0.0015267175572519084
FAS11,0.11221374045801527,0.4782767433369843,3.968610823745704e-06,0.00046466903070251043,0.007046807153631006,0.006058715538615807,4.034880927647696e-06
FAS10,0.14274809160305343,0.49063670411985016,9.434193737922808e-06,0.0005114797579176436,0.01235056942972963,0.006130855828995908,9.922362423609835e-06
FAS13,0.3267175572519084,0.5723023154215815,8.162371992362985e-06,0.0009539490848667992,0.03842956627583089,0.006283469144419238,8.079285272537977e-06
FAS12,0.23587786259541985,0.5284388866478419,1.6375725644475316e-05,0.0007488095314780077,0.020023635381779623,0.0062368013698183575,1.6359787324108013e-05
FAS15,0.14274809160305343,0.49063670411985016,9.434193737922811e-06,0.0005114797579178141,0.012350569429729723,0.006130855828995882,9.922362423609835e-06
PNTOt,0.0022900763358778627,0.3511123023318145,0.0015267175572519077,0.00028684157758646496,7.712466987671203e-05,0.0012315262489129254,0.0015267175572519077
Kabc,0.4389312977099237,0.6161806208842897,0.0011541791701858814,0.0013301518966726998,0.044973003882981026,0.006314568558822815,0.0011426880814627426
PTTDIM,0.2366412213740458,0.5288655631812677,0.0003811094575294539,0.0007910791056285387,0.019938723753315644,0.0062372478931479675,0.0004025300211635676
FAS19,0.2381679389312977,0.5290791599353797,6.410054197976033e-05,0.000756143441032178,0.020277744809390257,0.006238404712203438,6.472016372387735e-05
