,degree_centrality,closeness_centrality,betweeness_centrality,pagerank_centrality,load_centrality
FABG21,0.10916030534351145,8.473452835331306e-30,5.21226357178405e+91,0.0007863380700894138,0.0007380530075576673
FABG20,0.10916030534351145,8.473452835331306e-30,5.21226357178405e+91,0.0007863380700894138,0.0007397034167664695
NOR_syn,0.5610687022900763,8.473452835331306e-30,5.047534305210799e+78,0.0015817380134689782,0.0038569098011178604
MMAA41,0.11374045801526718,8.473452835331306e-30,4.1598059356176258e+43,0.0004952517266257747,1.9952544062708722e-05
INSt2,0.15572519083969466,8.473452835331306e-30,9.196374377222554e+16,0.0006037269227788996,0.0008380739425029587
FDH,0.23206106870229007,8.473452835331306e-30,5.1739037847393585e+100,0.0011621612737579504,0.00232184140344708
GLYCTO1,0.006870229007633588,8.473452835331306e-30,113.27438993260982,0.0002813424953373287,0.0001740639775698922
UDPG4E,0.0022900763358778627,8.473452835331306e-30,0.0012392189579703997,0.0006318249752489854,0.0012386356346841304
GLUSy,0.3694656488549618,8.473452835331306e-30,6.578049706704387e+90,0.0029257472481606004,0.09504232450865503
ECHA191,0.0,0.0,0.0,0.00013375100571644895,0.0
FUMabc_rev,0.14885496183206107,8.473452835331306e-30,7.601498331907906e+66,0.0009498711628552159,0.0034516485644706376
ADCYRS,0.16793893129770993,8.706667133551395e-30,72548.6261437092,0.0016668337876083197,0.0003270979275553667
FUMabc,0.14732824427480917,8.473452835331306e-30,1.5202996096767398e+67,0.0007694168516322152,4.6616754305105935e-05
NADS1,0.08396946564885496,8.473452835331306e-30,3.7894359861594154e+58,0.0011669588475726753,6.080530232224584e-05
MOBA,0.4259541984732824,8.549790248262208e-30,0.0,0.001305834813493651,0.0
PTGLCN,0.0030534351145038168,8.473452835331306e-30,0.0006076602345126839,0.000180902699895912,0.0006466868304257114
PC_TBt,0.0,0.0,0.0,0.00013375100571644895,0.0
FAS11,0.008396946564885497,8.473452835331306e-30,0.0,0.00013629598986927683,6.717717021002031e-06
FAS10,0.0633587786259542,8.473452835331306e-30,5.902808493459064e+24,0.00023657847446126627,0.0007018550501931872
FAS13,0.20916030534351146,8.473452835331306e-30,0.0,0.000161904445203582,0.00015575810961794418
FAS12,0.10916030534351145,8.473452835331306e-30,5.21226344519835e+91,0.0007933358390882118,0.0007571295003241522
FAS15,0.0633587786259542,8.473452835331306e-30,6.363425223858583e+20,0.00023657847444840535,0.0007018552769250129
PNTOt,0.0015267175572519084,8.488658669573397e-30,0.0006508085538170854,0.0001878800278293872,0.0006508085538170854
Kabc,0.14274809160305343,8.473452835331306e-30,1.520299592212719e+67,0.0007007109530644635,2.3590333532492186e-05
PTTDIM,0.10916030534351145,8.473452835331306e-30,5.419246129698492e+70,0.0008092452491962456,6.873322746057435e-05
FAS19,0.14274809160305343,8.473452835331306e-30,4.3833278573481715e+88,0.0007429073692349677,9.043100046989562e-05
FAS18,0.20916030534351146,8.473452835331306e-30,0.0,0.00016190444520358202,0.0001557823329792839
DAGD,0.1267175572519084,8.473452835331306e-30,1.3692471907919525e+93,0.0009088815390992256,0.00011927755255876448
NADH5,0.1435114503816794,8.473452835331306e-30,1.9623130756527634e+71,0.0007440006830611239,0.00011528903664316717
GLYt2r,0.1549618320610687,8.473452835331306e-30,0.000650225392030511,0.00017570643683802715,0.0008380739425029587
SERt2r,0.15572519083969466,8.473452835331306e-30,3511821492761971.0,0.00023388534394255247,0.0008380739425029587
MOEA1,0.21068702290076335,8.549790248262208e-30,0.0,0.0002514560799950528,0.0
DALAt2r,0.1549618320610687,8.473452835331306e-30,0.0013616827716513393,0.00024933248778148627,0.0015495313221237867
ALAabc,0.14732824427480917,8.473452835331306e-30,9.486915516892542e+82,0.0007004880107875924,0.00010717358486223171
ALAD_L,0.3473282442748092,8.473452835331306e-30,7.699001170588914e+94,0.001609164442085488,0.0026197662862435397
ORNTACim,0.022900763358778626,8.473452835331306e-30,1.3762888648473868e+16,0.0005115066760617703,0.001256559002149273
FBIC,0.1267175572519084,8.549790248262208e-30,2.883112822195038e+22,0.0005306706343324081,0.00032452953422868104
ADPT,0.007633587786259542,8.473452835331306e-30,0.0022016807068678886,0.0028109870455983927,0.0021075930830752373
MMTSAO,0.2969465648854962,8.473452835331306e-30,1.1716278914172888e+110,0.0014699043189121926,0.00019443584496718787
